PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(µS),TRX_LAYER_ARRIVAL_TIME(µS),NW_LAYER_ARRIVAL_TIME(µS),MAC_LAYER_ARRIVAL_TIME(µS),PHY_LAYER_ARRIVAL_TIME(µS),PHY_LAYER_START_TIME(µS),PHY_LAYER_END_TIME(µS),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
2,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,20000.000,20000.000,20000.000,20000.000,20000.000,20018.080,20023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,4540,162,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
2,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,20000.000,20000.000,20023.080,20023.080,20023.080,20041.160,20046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,4540,162,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,20046.160,20046.160,20046.160,20046.160,20051.440,20056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,322,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,20046.160,20056.440,20056.440,20056.440,20061.720,20066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,322,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
3,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,40000.000,40000.000,40000.000,40000.000,40000.000,40018.080,40023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,4700,322,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
3,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,40000.000,40000.000,40023.080,40023.080,40023.080,40041.160,40046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,4700,322,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,40046.160,40046.160,40046.160,40046.160,40051.440,40056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,482,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,40046.160,40056.440,40056.440,40056.440,40061.720,40066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,482,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
4,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,60000.000,60000.000,60000.000,60000.000,60000.000,60018.080,60023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,4860,482,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
4,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,60000.000,60000.000,60023.080,60023.080,60023.080,60041.160,60046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,4860,482,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,60046.160,60046.160,60046.160,60046.160,60051.440,60056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,642,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,60046.160,60056.440,60056.440,60056.440,60061.720,60066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,642,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
5,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,80000.000,80000.000,80000.000,80000.000,80000.000,80018.080,80023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,5020,642,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
5,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,80000.000,80000.000,80023.080,80023.080,80023.080,80041.160,80046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,5020,642,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,80046.160,80046.160,80046.160,80046.160,80051.440,80056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,802,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,80046.160,80056.440,80056.440,80056.440,80061.720,80066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,802,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
