Application Name,Application ID,Source,Destination,Packet ID,Segment ID,Packet or Segment Start Time(ms),Packet or Segment End Time(ms),Packet or Segment size(Bytes),Latency(Microseconds),Jitter(Microseconds),Throughput(Mbps),
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,47,0,920.000000,920.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,48,0,940.000000,940.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,49,0,960.000000,960.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,50,0,980.000000,980.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,51,0,1000.000000,1000.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,52,0,1020.000000,1020.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,53,0,1040.000000,1040.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,54,0,1060.000000,1060.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,55,0,1080.000000,1080.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,56,0,1100.000000,1100.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,57,0,1120.000000,1120.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,58,0,1140.000000,1140.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,59,0,1160.000000,1160.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,60,0,1180.000000,1180.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,61,0,1200.000000,1200.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,62,0,1220.000000,1220.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,63,0,1240.000000,1240.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,64,0,1260.000000,1260.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,65,0,1280.000000,1280.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,66,0,1300.000000,1300.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,67,0,1320.000000,1320.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,68,0,1340.000000,1340.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,69,0,1360.000000,1360.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,70,0,1380.000000,1380.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,71,0,1400.000000,1400.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,72,0,1420.000000,1420.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,73,0,1440.000000,1440.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,74,0,1460.000000,1460.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,75,0,1480.000000,1480.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,76,0,1500.000000,1500.046160,160.000000,46.160000,0.000000,-1,
