Link Id,Link Type,Link Medium,Packet Id,Transmitter,Receiver,Packet Size(Bytes),Physical Out Time(ms),Physical In Time(ms),Throughput(Mbps),
1,P2P,Wired,14,WIRED_NODE_2,ROUTER_1,226.000000,740.152956,740.157956,-1,
1,P2P,Wired,15,WIRED_NODE_2,ROUTER_1,226.000000,740.171996,740.176996,-1,
3,P2P,Wired,14,ROUTER_1,WIRED_NODE_5,226.000000,740.176036,740.181036,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.186316,740.191316,-1,
1,P2P,Wired,16,WIRED_NODE_2,ROUTER_1,226.000000,740.191036,740.196036,-1,
3,P2P,Wired,15,ROUTER_1,WIRED_NODE_5,226.000000,740.195076,740.200076,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.196596,740.201596,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.205356,740.210356,-1,
1,P2P,Wired,17,WIRED_NODE_2,ROUTER_1,226.000000,740.210076,740.215076,-1,
3,P2P,Wired,16,ROUTER_1,WIRED_NODE_5,226.000000,740.214116,740.219116,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.215636,740.220636,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.224396,740.229396,-1,
1,P2P,Wired,18,WIRED_NODE_2,ROUTER_1,226.000000,740.229116,740.234116,-1,
3,P2P,Wired,17,ROUTER_1,WIRED_NODE_5,226.000000,740.233156,740.238156,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.234676,740.239676,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.243436,740.248436,-1,
1,P2P,Wired,19,WIRED_NODE_2,ROUTER_1,226.000000,740.248156,740.253156,-1,
3,P2P,Wired,18,ROUTER_1,WIRED_NODE_5,226.000000,740.252196,740.257196,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.253716,740.258716,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.262476,740.267476,-1,
1,P2P,Wired,20,WIRED_NODE_2,ROUTER_1,226.000000,740.267196,740.272196,-1,
3,P2P,Wired,19,ROUTER_1,WIRED_NODE_5,226.000000,740.271236,740.276236,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.272756,740.277756,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.281516,740.286516,-1,
1,P2P,Wired,21,WIRED_NODE_2,ROUTER_1,226.000000,740.286236,740.291236,-1,
3,P2P,Wired,20,ROUTER_1,WIRED_NODE_5,226.000000,740.290276,740.295276,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.291796,740.296796,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.300556,740.305556,-1,
1,P2P,Wired,22,WIRED_NODE_2,ROUTER_1,226.000000,740.305276,740.310276,-1,
3,P2P,Wired,21,ROUTER_1,WIRED_NODE_5,226.000000,740.309316,740.314316,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.310836,740.315836,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.319596,740.324596,-1,
1,P2P,Wired,23,WIRED_NODE_2,ROUTER_1,226.000000,740.324316,740.329316,-1,
3,P2P,Wired,22,ROUTER_1,WIRED_NODE_5,226.000000,740.328356,740.333356,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.329876,740.334876,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.338636,740.343636,-1,
1,P2P,Wired,24,WIRED_NODE_2,ROUTER_1,226.000000,740.343356,740.348356,-1,
3,P2P,Wired,23,ROUTER_1,WIRED_NODE_5,226.000000,740.347396,740.352396,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.348916,740.353916,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.357676,740.362676,-1,
1,P2P,Wired,25,WIRED_NODE_2,ROUTER_1,226.000000,740.362396,740.367396,-1,
3,P2P,Wired,24,ROUTER_1,WIRED_NODE_5,226.000000,740.366436,740.371436,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.367956,740.372956,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.376716,740.381716,-1,
1,P2P,Wired,26,WIRED_NODE_2,ROUTER_1,226.000000,740.381436,740.386436,-1,
3,P2P,Wired,25,ROUTER_1,WIRED_NODE_5,226.000000,740.385476,740.390476,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.386996,740.391996,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.395756,740.400756,-1,
1,P2P,Wired,27,WIRED_NODE_2,ROUTER_1,226.000000,740.400476,740.405476,-1,
3,P2P,Wired,26,ROUTER_1,WIRED_NODE_5,226.000000,740.404516,740.409516,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.406036,740.411036,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.414796,740.419796,-1,
1,P2P,Wired,28,WIRED_NODE_2,ROUTER_1,226.000000,740.419516,740.424516,-1,
3,P2P,Wired,27,ROUTER_1,WIRED_NODE_5,226.000000,740.423556,740.428556,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.425076,740.430076,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.433836,740.438836,-1,
1,P2P,Wired,29,WIRED_NODE_2,ROUTER_1,226.000000,740.438556,740.443556,-1,
3,P2P,Wired,28,ROUTER_1,WIRED_NODE_5,226.000000,740.442596,740.447596,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.444116,740.449116,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.452876,740.457876,-1,
1,P2P,Wired,30,WIRED_NODE_2,ROUTER_1,226.000000,740.457596,740.462596,-1,
3,P2P,Wired,29,ROUTER_1,WIRED_NODE_5,226.000000,740.461636,740.466636,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.463156,740.468156,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.471916,740.476916,-1,
1,P2P,Wired,31,WIRED_NODE_2,ROUTER_1,226.000000,740.476636,740.481636,-1,
3,P2P,Wired,30,ROUTER_1,WIRED_NODE_5,226.000000,740.480676,740.485676,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.482196,740.487196,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.490956,740.495956,-1,
1,P2P,Wired,32,WIRED_NODE_2,ROUTER_1,226.000000,740.495676,740.500676,-1,
3,P2P,Wired,31,ROUTER_1,WIRED_NODE_5,226.000000,740.499716,740.504716,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.501236,740.506236,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.509996,740.514996,-1,
1,P2P,Wired,33,WIRED_NODE_2,ROUTER_1,226.000000,740.514716,740.519716,-1,
3,P2P,Wired,32,ROUTER_1,WIRED_NODE_5,226.000000,740.518756,740.523756,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.520276,740.525276,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.529036,740.534036,-1,
1,P2P,Wired,34,WIRED_NODE_2,ROUTER_1,226.000000,740.533756,740.538756,-1,
3,P2P,Wired,33,ROUTER_1,WIRED_NODE_5,226.000000,740.537796,740.542796,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.539316,740.544316,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.548076,740.553076,-1,
1,P2P,Wired,35,WIRED_NODE_2,ROUTER_1,226.000000,740.552796,740.557796,-1,
3,P2P,Wired,34,ROUTER_1,WIRED_NODE_5,226.000000,740.556836,740.561836,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.558356,740.563356,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.567116,740.572116,-1,
1,P2P,Wired,36,WIRED_NODE_2,ROUTER_1,226.000000,740.571836,740.576836,-1,
3,P2P,Wired,35,ROUTER_1,WIRED_NODE_5,226.000000,740.575876,740.580876,-1,
